year,week,rank,title,author,publisher,description
2022,2022-11-20,6,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
2022,2022-11-20,7,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.
2022,2022-11-20,8,RACING THE LIGHT,Robert Crais,Putnam,The 19th book in the Elvis Cole and Joe Pike series. A search for a missing podcaster involves corrupt politicians and business cartels.
2022,2022-11-20,9,UGLY LOVE,Colleen Hoover,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't."
2022,2022-11-20,10,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
2022,2022-11-20,11,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2022,2022-11-20,12,LONG SHADOWS,David Baldacci,Grand Central,The seventh book in the Memory Man series. Decker works with a new partner to investigate a double homicide.
2022,2022-11-20,13,DEMON COPPERHEAD,Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
2022,2022-11-20,14,FIRE AND BLOOD,George R.R. Martin,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros."
2022,2022-11-20,15,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
2022,2022-11-27,1,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend."
2022,2022-11-27,2,DESERT STAR,Michael Connelly,"Little, Brown",Ballard and Bosch bury old resentments as they go after two killers.
2022,2022-11-27,3,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2022,2022-11-27,4,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
2022,2022-11-27,5,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
2022,2022-11-27,6,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.
2022,2022-11-27,7,UGLY LOVE,Colleen Hoover,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't."
2022,2022-11-27,8,NOVEMBER 9,Colleen Hoover,Atria,Is Ben using his relationship with Fallon as fodder for his novel?
2022,2022-11-27,9,GOING ROGUE,Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.
2022,2022-11-27,10,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
2022,2022-11-27,11,TRIPLE CROSS,James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.
2022,2022-11-27,12,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2022,2022-11-27,13,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2022,2022-11-27,14,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
2022,2022-11-27,15,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
2022,2022-12-04,1,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend."
2022,2022-12-04,2,THE LOST METAL,Brandon Sanderson,Tor,The seventh book in the Mistborn series. The fate of millions depends on a decision by the frontier lawman turned big-city senator Waxillium Ladrian.
2022,2022-12-04,3,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2022,2022-12-04,4,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
2022,2022-12-04,5,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
2022,2022-12-04,6,DESERT STAR,Michael Connelly,"Little, Brown",Ballard and Bosch bury old resentments as they go after two killers.
2022,2022-12-04,7,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
2022,2022-12-04,8,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2022,2022-12-04,9,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.
2022,2022-12-04,10,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
2022,2022-12-04,11,UGLY LOVE,Colleen Hoover,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't."
2022,2022-12-04,12,GOING ROGUE,Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.
2022,2022-12-04,13,A LIGHT IN THE FLAME,Jennifer L. Armentrout,Blue Box,The second book in the Flesh and Fire series.
2022,2022-12-04,14,NOVEMBER 9,Colleen Hoover,Atria,Is Ben using his relationship with Fallon as fodder for his novel?
2022,2022-12-04,15,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2022,2022-12-11,1,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend."
2022,2022-12-11,2,THE CHOICE,Nora Roberts,St. Martin's,The third book in the Dragon Heart Legacy series. Breen Siobhan Kelly confronts darkness during her first Christmas in both Talamh and Ireland.
2022,2022-12-11,3,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2022,2022-12-11,4,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
2022,2022-12-11,5,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2022,2022-12-11,6,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
2022,2022-12-11,7,UGLY LOVE,Colleen Hoover,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't."
2022,2022-12-11,8,THE WHITTIERS,Danielle Steel,Delacorte,"After tragedy strikes, six adult children return to the family home without their parents for the first time."
2022,2022-12-11,9,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
2022,2022-12-11,10,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
2022,2022-12-11,11,NOVEMBER 9,Colleen Hoover,Atria,Is Ben using his relationship with Fallon as fodder for his novel?
2022,2022-12-11,12,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2022,2022-12-11,13,A CHRISTMAS MEMORY,Richard Paul Evans,Gallery,"In 1967, the joy of the holiday season seems out of reach to a boy whose brother died in the Vietnam War and father lost his job."
2022,2022-12-11,14,DESERT STAR,Michael Connelly,"Little, Brown",Ballard and Bosch bury old resentments as they go after two killers.
2022,2022-12-11,15,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
