year,week,rank,title,author
1933,1933-10-30,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-10-30,2,ONE MORE RIVER,John Galsworthy
1933,1933-10-30,3,THE DRAGON MURDER CASE,S. S. Van Dine
1933,1933-11-06,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-11-06,2,ONE MORE RIVER,John Galsworthy
1933,1933-11-06,3,THE DRAGON MURDER CASE,S. S. Van Dine
1933,1933-11-13,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-11-13,2,ONE MORE RIVER,John Galsworthy
1933,1933-11-13,3,AFTER SUCH PLEASURES,Dorothy Parker
1933,1933-11-20,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-11-20,2,ONE MORE RIVER,John Galsworthy
1933,1933-11-20,3,AFTER SUCH PLEASURES,Dorothy Parker
1933,1933-11-27,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-11-27,2,ONE MORE RIVER,John Galsworthy
1933,1933-11-27,3,WITHIN THIS PRESENT,Margaret Ayer Barnes
1933,1933-12-04,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-12-04,2,BONFIRE,Dorothy Canfield
1933,1933-12-04,3,AFTER SUCH PLEASURES,Dorothy Parker
1933,1933-12-11,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-12-11,2,WITHIN THIS PRESENT,Margaret Ayer Barnes
1933,1933-12-11,3,AFTER SUCH PLEASURES,Dorothy Parker
1933,1933-12-18,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-12-18,2,WITHIN THIS PRESENT,Margaret Ayer Barnes
1933,1933-12-18,3,OIL FOR THE LAMPS OF CHINA,Alice Tisdale Hobart
1933,1933-12-25,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-12-25,2,WITHIN THIS PRESENT,Margaret Ayer Barnes
1933,1933-12-25,3,ONE MORE RIVER,John Galsworthy
1934,1934-01-01,1,ANTHONY ADVERSE,Hervey Allen
1934,1934-01-01,2,THE BIRD OF DAWNING,John Masefield
1934,1934-01-01,3,WITHIN THIS PRESENT,Margaret Ayer Barnes
1934,1934-01-08,1,ANTHONY ADVERSE,Hervey Allen
1934,1934-01-08,2,OIL FOR THE LAMPS OF CHINA,Alice Tisdale Hobart
1934,1934-01-08,3,WITHIN THIS PRESENT,Margaret Ayer Barnes
1934,1934-01-15,1,THE THIN MAN,Dashiell Hammett
1934,1934-01-15,2,ANTHONY ADVERSE,Hervey Allen
1934,1934-01-15,3,MEN AGAINST THE SEA,Charles Nordhoff and James N. Hall
1934,1934-01-22,1,THE THIN MAN,Dashiell Hammett
1934,1934-01-22,2,ANTHONY ADVERSE,Hervey Allen
1934,1934-01-22,3,THE MOTHER,Pearl S. Buck
1934,1934-01-22,4,MEN AGAINST THE SEA,Charles Nordhoff and James N. Hall
1934,1934-01-22,5,SEA LEVEL,Anne Parrish
1934,1934-01-22,6,SKIN AND BONES,Thorne Smith
1934,1934-01-22,7,OIL FOR THE LAMPS OF CHINA,Alice Tisdale Hobart
1934,1934-01-22,8,WITHIN THIS PRESENT,Margaret Ayer Barnes
1934,1934-01-29,1,THE THIN MAN,Dashiell Hammett
1934,1934-01-29,2,ANTHONY ADVERSE,Hervey Allen
1934,1934-01-29,3,THE MOTHER,Pearl S. Buck
1934,1934-01-29,4,MEN AGAINST THE SEA,Charles Nordhoff and James N. Hall
1934,1934-01-29,5,SEA LEVEL,Anne Parrish
1934,1934-01-29,6,SKIN AND BONES,Thorne Smith
1934,1934-01-29,7,WORK OF ART,Sinclair Lewis
1934,1934-01-29,8,THE CADAVER,"Gideon Wyck, edited by Alexander Laing"
1934,1934-02-05,1,WORK OF ART,Sinclair Lewis
1934,1934-02-05,2,THE THIN MAN,Dashiell Hammett
1934,1934-02-05,3,THE STATE VERSUS ELINOR NORTON,Mary Roberts Rinehart
1934,1934-02-05,4,ANTHONY ADVERSE,Hervey Allen
1934,1934-02-05,5,MEN AGAINST THE SEA,Charles Nordhoff and James N. Hall
1934,1934-02-05,6,ULYSSES,James Joyce
1934,1934-02-05,7,THE MOTHER,Pearl S. Buck
1934,1934-02-12,1,WORK OF ART,Sinclair Lewis
1934,1934-02-12,2,ULYSSES,James Joyce
1934,1934-02-12,3,THE STATE VERSUS ELINOR NORTON,Mary Roberts Rinehart
1934,1934-02-12,4,ANTHONY ADVERSE,Hervey Allen
1934,1934-02-12,5,THE THIN MAN,Dashiell Hammett
1934,1934-02-12,6,A MODERN TRAGEDY,Phyllis Bentley
1934,1934-02-12,7,THE MOTHER,Pearl S. Buck
1934,1934-02-12,8,WITHIN THIS PRESENT,Margaret Ayer Barnes
1934,1934-02-19,1,WORK OF ART,Sinclair Lewis
1934,1934-02-19,2,ANTHONY ADVERSE,Hervey Allen
1934,1934-02-19,3,THE STATE VERSUS ELINOR NORTON,Mary Roberts Rinehart
1934,1934-02-19,4,A MODERN TRAGEDY,Phyllis Bentley
1934,1934-02-19,5,WITHIN THIS PRESENT,Margaret Ayer Barnes
1934,1934-02-19,6,ULYSSES,James Joyce
1934,1934-02-19,7,THE THIN MAN,Dashiell Hammett
1934,1934-02-19,8,THE GALLOWS OF CHANCE,E. Phillips Oppenheim
1934,1934-02-26,1,WORK OF ART,Sinclair Lewis
1934,1934-02-26,2,ANTHONY ADVERSE,Hervey Allen
1934,1934-02-26,3,ULYSSES,James Joyce
1934,1934-02-26,4,THE STATE VERSUS ELINOR NORTON,Mary Roberts Rinehart
1934,1934-02-26,5,A MODERN TRAGEDY,Phyllis Bentley
1934,1934-02-26,6,THE POSTMAN ALWAYS RINGS TWICE,James M. Cain
1934,1934-02-26,7,THE THIN MAN,Dashiell Hammett
1934,1934-02-26,8,WE RIDE THE GALE,Emilie Loring
1934,1934-03-05,1,WORK OF ART,Sinclair Lewis
1934,1934-03-05,2,ANTHONY ADVERSE,Hervey Allen
1934,1934-03-05,3,THE POSTMAN ALWAYS RINGS TWICE,James M. Cain
1934,1934-03-05,4,ULYSSES,James Joyce
1934,1934-03-05,5,THE STATE VERSUS ELINOR NORTON,Mary Roberts Rinehart
1934,1934-03-05,6,THE THIN MAN,Dashiell Hammett
1934,1934-03-05,7,THE UNFORGOTTEN PRISONER,R. C. Hutchinson
1934,1934-03-05,8,MEN AGAINST THE SEA,Charles Nordhoff and James N. Hall
1934,1934-03-12,1,WORK OF ART,Sinclair Lewis
1934,1934-03-12,2,ANTHONY ADVERSE,Hervey Allen
1934,1934-03-12,3,THE POSTMAN ALWAYS RINGS TWICE,James M. Cain
1934,1934-03-12,4,MURDER IN THE CALAIS COACH,Agatha Christie
