year,week,rank,title,author
2011,2011-07-31,5,A GAME OF THRONES,George R.R. Martin
2011,2011-07-31,6,QUINN,Iris Johansen
2011,2011-07-31,7,BEFORE I GO TO SLEEP,S. J. Watson
2011,2011-07-31,8,SMOKIN’ SEVENTEEN,Janet Evanovich
2011,2011-07-31,9,STATE OF WONDER,Ann Patchett
2011,2011-07-31,10,A CLASH OF KINGS,George R.R. Martin
2011,2011-07-31,11,THE BLACK ECHO,Michael Connelly
2011,2011-07-31,12,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-07-31,13,ONE SUMMER,David Baldacci
2011,2011-07-31,14,ROOM,Emma Donoghue
2011,2011-07-31,15,THE SILENT GIRL,Tess Gerritsen
2011,2011-08-07,1,THE HELP,Kathryn Stockett
2011,2011-08-07,2,PORTRAIT OF A SPY,Daniel Silva
2011,2011-08-07,3,A DANCE WITH DRAGONS,George R. R. Martin
2011,2011-08-07,4,NOW YOU SEE HER,James Patterson and Michael Ledwidge
2011,2011-08-07,5,SPLIT SECOND,Catherine Coulter
2011,2011-08-07,6,HAPPY BIRTHDAY,Danielle Steel
2011,2011-08-07,7,A GAME OF THRONES,George R.R. Martin
2011,2011-08-07,8,THE BLACK ECHO,Michael Connelly
2011,2011-08-07,9,THE CONFESSION,John Grisham
2011,2011-08-07,10,THEN CAME YOU,Jennifer Weiner
2011,2011-08-07,11,SMOKIN’ SEVENTEEN,Janet Evanovich
2011,2011-08-07,12,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-08-07,13,A CLASH OF KINGS,George R.R. Martin
2011,2011-08-07,14,STATE OF WONDER,Ann Patchett
2011,2011-08-07,15,SARAH’S KEY,Tatiana de Rosnay
2011,2011-08-14,1,THE HELP,Kathryn Stockett
2011,2011-08-14,2,GHOST STORY,Jim Butcher
2011,2011-08-14,3,FULL BLACK,Brad Thor
2011,2011-08-14,4,THE BLACK ECHO,Michael Connelly
2011,2011-08-14,5,NOW YOU SEE HER,James Patterson and Michael Ledwidge
2011,2011-08-14,6,A DANCE WITH DRAGONS,George R. R. Martin
2011,2011-08-14,7,THE CONFESSION,John Grisham
2011,2011-08-14,8,A GAME OF THRONES,George R.R. Martin
2011,2011-08-14,9,PORTRAIT OF A SPY,Daniel Silva
2011,2011-08-14,10,SARAH’S KEY,Tatiana de Rosnay
2011,2011-08-14,11,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-08-14,12,SPLIT SECOND,Catherine Coulter
2011,2011-08-14,13,A CLASH OF KINGS,George R.R. Martin
2011,2011-08-14,14,THEN CAME YOU,Jennifer Weiner
2011,2011-08-14,15,HAPPY BIRTHDAY,Danielle Steel
2011,2011-08-21,1,THE HELP,Kathryn Stockett
2011,2011-08-21,2,COLD VENGEANCE,Douglas Preston and Lincoln Child
2011,2011-08-21,3,NOW YOU SEE HER,James Patterson and Michael Ledwidge
2011,2011-08-21,4,FULL BLACK,Brad Thor
2011,2011-08-21,5,UNTIL PROVEN GUILTY,J. A. Jance
2011,2011-08-21,6,RETRIBUTION,Sherrilyn Kenyon
2011,2011-08-21,7,A GAME OF THRONES,George R.R. Martin
2011,2011-08-21,8,A DANCE WITH DRAGONS,George R. R. Martin
2011,2011-08-21,9,THE CONFESSION,John Grisham
